id,name,result,duration,passed
1,0f450e738bf79c003253,OtherFailure,7.46,False
1,2a5d283b0d279ea96c26,OtherPass,2.56,True
1,7639387,ModuleNotFound,1.89,False
1,5894681,OtherPass,0.01,True
1,a9de2ef498a09747bbf673ddf6ea4843,ModuleNotFound,10.48,False
1,5356796,ImportError,1.43,False
1,5459536,OtherPass,4.01,True
1,3918044,ModuleNotFound,4.43,False
1,4282679,AttributeError,3.98,True
1,1207636,OtherPass,5.15,True
1,5445149,ModuleNotFound,0.0,False
1,4732233,OtherPass,3.71,True
1,1818351,OtherPass,7.68,True
1,827988,OtherPass,7.67,True
1,2977d9f26866b05583b0c40d88a315bf,SyntaxError,9.73,True
1,97d0fb82c3894f56809a,OtherPass,1.22,True
1,23703b934c442a54808e245d9418545a,ModuleNotFound,1.15,False
1,9497761,ModuleNotFound,0.42,False
1,689f4a38bc6cb9a7adc0,OtherFailure,0.73,False
1,817977,ImportError,1.63,False
1,6337361,OtherPass,10.35,True
1,4586359,OtherFailure,11.44,False
1,6097195,ModuleNotFound,4.66,False
1,6165747,OtherFailure,1.32,False
1,4116156,ModuleNotFound,1.24,False
1,5330231,ModuleNotFound,2.04,False
1,1748a6676120a0aacea2,OtherPass,4.25,True
1,d91a0983140acbb8bc6455f58cbf45cb,ImportError,4.6,False
1,f15921b2257af1db953f,OtherPass,2.04,True
1,4142563,OtherPass,0.68,True
1,5782780,ImportError,1.11,False
1,4350345,ImportError,6.07,False
1,1912053,ModuleNotFound,1.15,False
1,aa8713d4334036bcb0060ff73dba54c4,ImportError,2.01,False
1,e28813c1e8721830ff9c,OtherPass,6.39,True
1,6da9a7c1e03912fde62e,ModuleNotFound,20.56,False
1,5862530,OtherPass,1.36,True
1,5660624,ModuleNotFound,23.45,False
1,5809279,ModuleNotFound,1.63,False
1,2184906,ImportError,2.03,False
1,076424abd8b012371b516da32807ca14,ImportError,1.78,False
1,8e7ab6fe8ad6d903aa0c,OtherPass,0.07,True
1,c0fdb29ddf0d338bcbd021b68f5bea51,ModuleNotFound,2.0,False
1,7ceb3e7ef239e282a9d2,ModuleNotFound,0.0,False
1,540f615dd9d54de47dc52b0ca60522c1,ModuleNotFound,1.37,False
1,10554232,OtherFailure,4.31,False
1,1e5404260b7e3a8ba4ba0a0d62c0cf75,OtherPass,5.95,True
1,67c7a6d77a6da0a56329,OtherPass,17.59,True
1,e2ef822c744357a4ed16ec0c885100a3,ModuleNotFound,10.01,False
1,1440567,OtherPass,2.05,True
1,2816295,OtherPass,1.5,True
1,b3f329868934710fbc81218ce1d6d722,ImportError,0.0,False
1,2220293,ImportError,1.25,False
1,db5ec4ce7c1dbaae4707,TypeError,6.27,True
1,1435555,OtherPass,15.53,True
1,4599814,OtherPass,7.45,True
1,6cd16631253eed21f37f,ImportError,0.65,False
1,4091897,ImportError,11.93,False
1,7c18bf7ac5fd4d26cbce,OtherFailure,3.94,False
1,ff122e8563793bb28f79,OtherFailure,2.28,False
1,484009,ImportError,28.38,False
1,9372073,OtherFailure,2.52,False
1,1cd6ce82490d2c0f2e0a,ModuleNotFound,1.85,False
1,c80e24454ee353d3c123,OtherPass,7.17,True
1,3d2454905d8f01886d651f207e2419f0,ImportError,24.41,False
1,07cdfc2826a565b50a68,TypeError,9.76,True
1,7689218,TypeError,26.6,True
1,f6923957293620d6814052e0ccdf0ddf,ModuleNotFound,9.71,False
1,43e20eda5eb5834b61bc06a4c1855b29,AttributeError,24.97,True
1,6622928,ModuleNotFound,1.61,False
1,fa5755c7f7fa49b47961,NameError,10.86,True
1,6771295,OtherPass,3.75,True
1,8752582,ImportError,11.93,False
1,0efb4d07f28af1c8fc1b,ModuleNotFound,18.83,False
1,790721,OtherPass,13.59,True
1,407d78fbe0f234ea34c6,ImportError,2.78,False
